"CompanyDallas
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,Dallas,Papua New Guinea
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,Dallas,Venezuela
Ambrosia,Peru,1498,2015,68%,Canada,3.5,Dallas,Peru
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,Dallas,Peru
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Amedei,Nine,111,2007,75%,Italy,4,Blend,Dallas
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend,Dallas
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend,Dallas
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend,Dallas
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil
Anahata,Elvesia,1259,2014,75%,U.S.A.,3,Dallas,Dominican Republic
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,Dallas,Bolivia
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar
Ara,Chiapas,1379,2014,72%,France,2.5,Dallas,Mexico
Ara,Equateur,1379,2014,75%,France,2.75,Dallas,Ecuador
Ara,Trincheras,1379,2014,75%,France,3,Dallas,Venezuela
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,Dallas,Tanzania
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,Dallas,Ecuador
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,Dallas,Ecuador
Arete,Lachua,1904,2016,70%,U.S.A.,3.5,Dallas,Guatemala
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,Dallas,Nicaragua
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5,Dallas,Honduras
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4,Dallas,Costa Rica
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,Dallas,Dominican Republic
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,Dallas,Fiji
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,Dallas,Vietnam
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,Dallas,Brazil
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,Dallas,Domincan Republic
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,Dallas,Brazil
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,Dallas,Guatemala
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,Dallas,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75,Dallas,Colombia
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4,Dallas,Haiti
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,Dallas,Panama
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,Dallas,Venezuela
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,Dallas,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,Dallas,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,Dallas,Brazil
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25,Dallas,Dallas
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,Dallas,Papua New Guinea
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,Dallas,Brazil
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend,Dallas
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75,Dallas,Peru
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5,Dallas,Peru
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,Dallas,Brazil
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,Dallas,Dominican Republic
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,Dallas,Mexico
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Baravelli's,single estate,955,2012,80%,Wales,2.75,Dallas,Costa Rica
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5,Dallas,Domincan Republic
Batch,Brazil,1868,2016,70%,U.S.A.,3.75,Dallas,Brazil
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,Dallas,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3,Dallas,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25,Dallas,Malaysia
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75,Dallas,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75,Dallas,Domincan Republic
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75,Dallas,Ecuador
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,Dallas,Ecuador
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,Dallas,Costa Rica
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,Dallas,Papua New Guinea
Belcolade,Peru,586,2010,64%,Belgium,2.75,Dallas,Peru
Belcolade,Ecuador,586,2010,71%,Belgium,3.5,Dallas,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25,Dallas,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5,Dallas,Domincan Republic
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,797,2012,55%,France,2.75,Dallas,Dallas
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5,Dallas,Venezuela
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4,Dallas,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5,Dallas,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5,Dallas,Venezuela
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5,Dallas,Nicaragua
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5,Dallas,Costa Rica
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5,Dallas,Costa Rica
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25,Dallas,Indonesia
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75,Dallas,Indonesia
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3,Dallas,Dominican Republic
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,Dallas,Dominican Republic
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,Dallas,Panama
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,Dallas,Dominican Republic
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,Dallas,Dominican Republic
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3,Dallas,Nicaragua
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,322,2009,72%,Spain,2.75,Dallas,Dallas
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,Dallas,Guatemala
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,Dallas,Tanzania
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3,Dallas,Dominican Republic
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,Dallas,Guatemala
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,1912,2016,75%,France,3.5,Dallas,Mexico
Bonnat,Kaori,1339,2014,75%,France,4,Dallas,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25,Dallas,Dominican Republic
Bonnat,Surfin,1418,2014,65%,France,3.75,Dallas,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,1038,2013,75%,France,3.5,Dallas,Brazil
Bonnat,Gabon,1042,2013,75%,France,3.25,Dallas,Gabon
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5,Dallas,Peru
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,629,2011,75%,France,3.75,Dallas,Brazil
Bonnat,Haiti,629,2011,75%,France,4,Dallas,Haiti
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar
Bonnat,Juliana,672,2011,75%,France,3.5,Dallas,Brazil
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,331,2009,75%,France,3,Dallas,Ivory Coast
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo (Porcelana),Venezuela
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4,Dallas,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar
Bonnat,One Hundred,81,2006,100%,France,1.5,Dallas,Dallas
Bonnat,Ceylan,81,2006,75%,France,3,Dallas,Sri Lanka
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,Dallas,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75,Dallas,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,Dallas,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25,Dallas,Ecuador
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3,Dallas,Dominican Republic
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25,Dallas,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5,Dallas,Guatemala
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75,Dallas,Madagascar
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25,Dallas,Madagascar
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar
Bright,Marabel Farms,1231,2014,70%,Australia,3.5,Dallas,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5,Dallas,Ecuador
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,1638,2015,70%,Russia,3.25,Dallas,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75,Dallas,Dominican Republic
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5,Dallas,Ecuador
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend,Dallas
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5,Dallas,Ecuador
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5,Dallas,Puerto Rico
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5,Dallas,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75,Dallas,Dominican Republic
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25,Dallas,Venezuela
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,586,2010,70%,France,3,Dallas,Dominican Republic
Cacao Barry,Tanzania,300,2008,75%,France,2,Dallas,Tanzania
Cacao Barry,Venezuela,141,2007,72%,France,2,Dallas,Venezuela
Cacao Barry,Mexico,147,2007,66%,France,3,Dallas,Mexico
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5,Dallas,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25,Dallas,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25,Dallas,Venezuela
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75,Dallas,Colombia
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75,Dallas,Colombia
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75,Dallas,Colombia
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5,Dallas,Colombia
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5,Dallas,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75,Dallas,Colombia
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25,Dallas,Colombia
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
